column,value,count,share
foreign_currency,N,702973,0.989966
foreign_currency,Y,7082,0.009973
foreign_currency,__NA__,43,6.1e-05
coupon_type,F,329038,0.46337
coupon_type,V,219254,0.308766
coupon_type,Z,161771,0.227815
coupon_type,__NA__,35,4.9e-05
convertible,N,702600,0.989441
convertible,Y,6329,0.008913
convertible,__NA__,1169,0.001646
putable,N,705770,0.993905
putable,Y,3003,0.004229
putable,__NA__,1325,0.001866
asset_backed,N,707832,0.996809
asset_backed,__NA__,1172,0.00165
asset_backed,Y,1094,0.001541
redeemable,Y,429333,0.604611
redeemable,N,280635,0.395206
redeemable,__NA__,130,0.000183
announced_call,N,708798,0.998169
announced_call,__NA__,1022,0.001439
announced_call,Y,278,0.000391
defaulted,N,708099,0.997185
defaulted,__NA__,1006,0.001417
defaulted,Y,993,0.001398
perpetual,N,707684,0.9966
perpetual,Y,2414,0.0034
private_placement,N,705746,0.993871
private_placement,Y,3389,0.004773
private_placement,__NA__,963,0.001356
bond_type,CMTN,214264,0.301739
bond_type,ADEB,163272,0.229929
bond_type,CMTZ,135731,0.191144
bond_type,CDEB,64624,0.091007
bond_type,AMTN,41488,0.058426
bond_type,RNT,26460,0.037262
bond_type,USBN,10843,0.01527
bond_type,ADNT,8734,0.0123
bond_type,FGOV,7426,0.010458
bond_type,CCOV,6268,0.008827
bond_type,ARNT,5865,0.008259
bond_type,ASPZ,3935,0.005541
bond_type,CCUR,2891,0.004071
bond_type,EMTN,2450,0.00345
bond_type,USBL,2071,0.002916
bond_type,PSTK,2032,0.002862
bond_type,CPAS,1778,0.002504
bond_type,PS,1597,0.002249
bond_type,USNT,1504,0.002118
bond_type,USSP,1426,0.002008
bond_type,TPCS,1377,0.001939
bond_type,USSI,1050,0.001479
bond_type,CTBL,752,0.001059
bond_type,UCID,499,0.000703
bond_type,CPIK,392,0.000552
security_level,SEN,588682,0.829015
security_level,NON,97453,0.137239
security_level,SS,11049,0.01556
security_level,SENS,9213,0.012974
security_level,SUB,2682,0.003777
security_level,__NA__,557,0.000784
security_level,JUNS,446,0.000628
security_level,JUN,16,2.3e-05
complete_cusip,29357JAC0,2,3e-06
complete_cusip,001054AC9,1,1e-06
complete_cusip,001054AD7,1,1e-06
complete_cusip,001054AE5,1,1e-06
complete_cusip,09711J3P2,1,1e-06
complete_cusip,89115HHW0,1,1e-06
complete_cusip,89115HJF5,1,1e-06
complete_cusip,89115HHQ3,1,1e-06
complete_cusip,001575AC3,1,1e-06
complete_cusip,P9767HGJ2,1,1e-06
complete_cusip,001054AA3,1,1e-06
complete_cusip,000361AB1,1,1e-06
complete_cusip,06369N3V1,1,1e-06
complete_cusip,47233YKR5,1,1e-06
complete_cusip,90309M886,1,1e-06
complete_cusip,90309L102,1,1e-06
complete_cusip,001765AS5,1,1e-06
complete_cusip,001814AR3,1,1e-06
complete_cusip,001870AA2,1,1e-06
complete_cusip,001907AB0,1,1e-06
complete_cusip,001909AA8,1,1e-06
complete_cusip,000361AA3,1,1e-06
complete_cusip,06376DNR1,1,1e-06
complete_cusip,48136FJZ6,1,1e-06
complete_cusip,3130B6YU4,1,1e-06
maturity,__NA__,2417,0.003404
maturity,2026-05-29,544,0.000766
maturity,2024-10-31,543,0.000765
maturity,2024-05-31,539,0.000759
maturity,2026-04-30,536,0.000755
maturity,2027-03-04,525,0.000739
maturity,2027-04-01,524,0.000738
maturity,2025-05-01,519,0.000731
maturity,2025-07-31,512,0.000721
maturity,2024-03-28,512,0.000721
maturity,2024-10-03,493,0.000694
maturity,2024-11-29,490,0.00069
maturity,2025-05-30,488,0.000687
maturity,2025-07-03,487,0.000686
maturity,2027-09-30,470,0.000662
maturity,2025-02-28,468,0.000659
maturity,2026-10-01,468,0.000659
maturity,2025-10-30,467,0.000658
maturity,2024-02-29,458,0.000645
maturity,2023-12-29,453,0.000638
maturity,2027-04-29,451,0.000635
maturity,2023-08-31,450,0.000634
maturity,2027-07-01,450,0.000634
maturity,2027-06-04,449,0.000632
maturity,2025-12-26,444,0.000625
principal_amt,1000.0,629769,0.886876
principal_amt,10.0,65420,0.092128
principal_amt,100.0,4202,0.005917
principal_amt,25.0,2839,0.003998
principal_amt,10000.0,671,0.000945
principal_amt,50.0,375,0.000528
principal_amt,5000.0,313,0.000441
principal_amt,1000000.0,184,0.000259
principal_amt,2000.0,181,0.000255
principal_amt,100000.0,179,0.000252
principal_amt,1.0,143,0.000201
principal_amt,10000000.0,131,0.000184
principal_amt,200000.0,61,8.6e-05
principal_amt,50000.0,31,4.4e-05
principal_amt,25000.0,20,2.8e-05
principal_amt,20.0,15,2.1e-05
principal_amt,250.0,13,1.8e-05
principal_amt,100000000.0,13,1.8e-05
principal_amt,5.0,13,1.8e-05
principal_amt,500.0,11,1.5e-05
principal_amt,200.0,10,1.4e-05
principal_amt,23.62,8,1.1e-05
principal_amt,15.0,7,1e-05
principal_amt,36.96,6,8e-06
principal_amt,19.59,6,8e-06
offering_amt,25000.0,40239,0.056667
offering_amt,50000.0,31941,0.044981
offering_amt,15000.0,30855,0.043452
offering_amt,100000.0,22106,0.031131
offering_amt,1.0,16277,0.022922
offering_amt,10000.0,13342,0.018789
offering_amt,500000.0,12806,0.018034
offering_amt,250000.0,11345,0.015977
offering_amt,20000.0,10597,0.014923
offering_amt,1000.0,9998,0.01408
offering_amt,100.0,8942,0.012593
offering_amt,30000.0,8639,0.012166
offering_amt,200000.0,8621,0.012141
offering_amt,150000.0,8530,0.012012
offering_amt,300000.0,7941,0.011183
offering_amt,1000000.0,7712,0.01086
offering_amt,500.0,7327,0.010318
offering_amt,5000.0,7096,0.009993
offering_amt,40000.0,6303,0.008876
offering_amt,75000.0,5768,0.008123
offering_amt,2000.0,5199,0.007322
offering_amt,35000.0,5058,0.007123
offering_amt,750000.0,4459,0.006279
offering_amt,250.0,4431,0.00624
offering_amt,400000.0,4411,0.006212
